,N,said,showed,kennedy
0,2242,24,0,0
1,2277,14,0,0
2,2275,17,0,6
3,2217,3,0,8
4,2244,31,0,1
5,2263,26,0,2
6,2270,10,0,1
7,2187,1,0,1
8,2234,22,0,0
9,2282,18,0,0
10,2259,3,0,0
11,2338,11,0,0
12,2241,7,1,0
13,2329,7,0,0
14,2314,11,2,0
15,2374,0,0,0
16,2293,2,0,0
17,2314,0,0,1
18,2260,25,1,0
19,2317,13,0,0
20,2245,21,0,0
21,2309,24,0,0
22,2327,12,0,0
23,2252,17,0,0
24,2327,18,0,0
25,2278,2,1,1
26,2288,15,0,0
27,2220,6,0,2
28,2349,0,0,0
29,2274,1,0,0
30,2311,2,0,0
31,2323,3,0,0
32,2284,6,0,7
33,2235,1,0,10
34,2217,0,0,0
35,2229,1,0,0
36,2324,10,0,7
37,2221,2,0,0
38,2452,5,0,0
39,2340,6,0,0
40,2313,1,0,0
41,2338,7,0,11
42,2291,1,0,8
43,2277,0,0,0
44,2200,1,0,0
45,2234,2,0,3
46,2244,3,0,3
47,2230,0,0,0
48,2241,2,0,1
49,2231,1,1,4
50,2239,0,0,0
51,2395,9,0,0
52,2312,4,0,0
53,2298,3,0,0
54,2293,0,0,6
55,2296,5,0,0
56,2267,1,0,0
57,2264,4,0,8
58,2311,2,0,0
59,2260,1,0,6
60,2288,1,0,0
61,2194,2,0,3
62,2287,0,1,0
63,2299,2,1,0
64,2278,0,0,1
65,2294,3,0,3
66,2357,2,0,0
67,2346,0,0,0
68,2368,0,0,0
69,2316,3,0,1
70,2262,1,0,0
71,2415,1,0,0
72,2320,1,1,0
73,2356,0,0,0
74,2342,1,0,0
75,2398,3,1,0
76,2433,0,0,1
77,2421,0,0,0
78,2351,0,0,0
79,2345,1,1,0
80,2461,0,0,0
81,2480,1,0,9
82,2342,0,1,0
83,2282,1,0,0
84,2574,0,0,0
85,2503,0,0,0
86,2311,2,0,1
87,2370,1,1,1
88,2213,0,0,0
89,2334,1,0,0
90,2332,2,0,0
91,2318,1,0,0
92,2410,2,1,0
93,2317,1,0,0
94,2359,8,0,0
95,2332,2,0,0
96,2314,0,0,0
97,2238,1,0,0
98,2304,1,0,0
99,2307,0,0,0
100,2236,0,1,0
101,2276,0,1,0
102,2315,2,0,0
103,2451,6,0,0
104,2343,0,1,0
105,2258,0,0,0
106,2279,1,0,0
107,2257,0,0,0
108,2295,0,0,0
109,2271,2,0,0
110,2222,0,0,0
111,2370,0,0,0
112,2226,0,0,0
113,2476,1,0,0
114,2402,0,1,0
115,2333,1,0,0
116,2288,0,0,0
117,2261,0,0,0
118,2346,0,0,0
119,2333,0,0,0
120,2223,0,0,0
121,2244,0,0,0
122,2302,4,0,0
123,2260,0,0,0
124,2251,0,0,0
125,2239,0,0,0
126,2402,0,0,0
127,2307,0,0,0
128,2253,1,0,1
129,2227,0,0,0
130,2243,0,0,0
131,2323,0,0,0
132,2291,0,0,0
133,2246,0,0,0
134,2294,0,0,0
135,2247,0,0,0
136,2339,0,1,0
137,2233,0,0,0
138,2300,0,0,0
139,2272,1,0,0
140,2232,0,0,0
141,2369,2,0,0
142,2264,2,0,0
143,2256,0,0,0
144,2258,3,0,0
145,2250,0,1,0
146,2424,1,0,0
147,2205,0,0,0
148,2356,0,0,0
149,2306,6,0,0
150,2332,4,0,0
151,2310,1,0,0
152,2361,0,0,0
153,2316,0,0,0
154,2285,1,1,0
155,2236,0,0,0
156,2331,2,0,0
157,2236,0,0,0
158,2328,0,0,0
159,2321,1,0,0
160,2278,2,1,0
161,2212,0,0,0
162,2431,1,0,0
163,2299,2,0,0
164,2384,10,1,0
165,2313,3,0,0
166,2258,4,2,0
167,2288,0,0,0
168,2267,0,0,0
169,2302,0,0,11
170,2259,4,0,0
171,2220,16,0,0
172,2322,2,1,0
173,2219,3,0,0
174,2300,0,0,0
175,2439,9,0,0
176,2362,3,2,0
177,2222,1,0,0
178,2405,1,0,0
179,2351,0,0,0
180,2250,4,1,0
181,2261,0,0,0
182,2355,0,0,0
183,2288,0,1,0
184,2245,0,0,0
185,2261,0,0,0
186,2267,0,0,0
187,2275,0,0,0
188,2222,1,0,0
189,2289,0,0,0
190,2311,1,0,1
191,2403,1,0,2
192,2359,5,2,0
193,2394,1,0,0
194,2397,3,0,0
195,2308,0,0,1
196,2322,1,0,0
197,2278,0,0,0
198,2301,0,0,0
199,2237,0,0,0
200,2332,4,0,0
